month,day_of_week,hour,ed_occupancy_percent,inpatient_bed_occupancy_percent,boarding_count,boarding_hours_avg,admission_wait_pressure,bed_pressure_level,data_source_note
1,0,8,110,90,5,2.2,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,0,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,0,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,0,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,1,8,110,93,7,3.1,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,1,12,38,75,0,0.0,Low,Moderate,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,1,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,1,22,110,95,8,3.6,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,2,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,2,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,2,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,2,22,110,97,9,4.0,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,3,8,102,87,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,3,12,96,86,3,1.4,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,3,18,91,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,3,22,92,85,2,0.9,High,High,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
1,4,8,110,97,10,4.5,High,Critical,Proxy-derived simulated/prototype estimates from Kaggle wait time averages by month/day/hour. Boarding counts estimated from wait-time thresholds.
